simulation_profile,"I am someone who Is outgoing, sociable.","I am someone who Is compassionate, has a soft heart.",I am someone who Tends to be disorganized.,"I am someone who Is relaxed, handles stress well.",I am someone who Has few artistic interests.,I am someone who Has an assertive personality.,"I am someone who Is respectful, treats others with respect.",I am someone who Tends to be lazy.,I am someone who Stays optimistic after experiencing a setback.,I am someone who Is curious about many different things.,I am someone who Rarely feels excited or eager.,I am someone who Tends to find fault with others.,"I am someone who Is dependable, steady.","I am someone who Is moody, has up and down mood swings.","I am someone who Is inventive, finds clever ways to do things.",I am someone who Tends to be quiet.,I am someone who Feels little sympathy for others.,"I am someone who Is systematic, likes to keep things in order.",I am someone who Can be tense.,"I am someone who Is fascinated by art, music, or literature.","I am someone who Is dominant, acts as a leader.",I am someone who Starts arguments with others.,I am someone who Has difficulty getting started on tasks.,"I am someone who Feels secure, comfortable with self.","I am someone who Avoids intellectual, philosophical discussions.",I am someone who Is less active than other people.,I am someone who Has a forgiving nature.,I am someone who Can be somewhat careless.,"I am someone who Is emotionally stable, not easily upset.",I am someone who Has little creativity.,"I am someone who Is sometimes shy, introverted.",I am someone who Is helpful and unselfish with others.,I am someone who Keeps things neat and tidy.,I am someone who Worries a lot.,I am someone who Values art and beauty.,I am someone who Finds it hard to influence people.,I am someone who Is sometimes rude to others.,"I am someone who Is efficient, gets things done.",I am someone who Often feels sad.,"I am someone who Is complex, a deep thinker.",I am someone who Is full of energy.,I am someone who Is suspicious of others’ intentions.,"I am someone who Is reliable, can always be counted on.",I am someone who Keeps their emotions under control.,I am someone who Has difficulty imagining things.,I am someone who Is talkative.,I am someone who Can be cold and uncaring.,"I am someone who Leaves a mess, doesn’t clean up.",I am someone who Rarely feels anxious or afraid.,I am someone who Thinks poetry and plays are boring.,I am someone who Prefers to have others take charge.,"I am someone who Is polite, courteous to others.","I am someone who Is persistent, works until the task is finished.","I am someone who Tends to feel depressed, blue.",I am someone who Has little interest in abstract Ideas.,I am someone who Shows a lot of Enthusiasm.,I am someone who Assumes the best about people.,I am someone who Sometimes behaves irresponsibly.,"I am someone who Is temperamental, gets emotional easily.","I am someone who Is original, comes up with new Ideas."
"extremely unfriendly, extremely unenergetic, extremely unassertive, extremely timid and extremely inactive",1,1,2,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,5,1,2,1,1,1,2,1,1,1,1,1
"extremely friendly, extremely energetic, extremely assertive, extremely bold and extremely active",5,2,4,1,5,5,5,1,5,5,5,2,2,2,5,1,4,2,1,5,5,4,5,2,5,5,2,2,4,5,1,5,2,1,4,5,4,5,1,4,5,4,4,4,5,5,1,2,4,1,2,2,5,1,4,5,4,4,2,5
"extremely unenergetic, extremely timid, extremely gloomy, extremely introverted and extremely silent",1,2,2,1,2,1,2,2,1,1,5,2,1,4,1,5,2,2,2,1,1,1,4,1,2,4,2,1,2,2,2,2,2,4,2,2,1,1,5,2,1,2,2,2,4,1,2,1,5,2,2,2,1,5,4,1,2,1,2,1
"extremely energetic, extremely bold, extremely cheerful, extremely extraverted and extremely talkative",5,2,2,1,5,5,4,1,5,5,1,2,2,1,5,1,2,2,1,5,5,5,5,2,5,5,2,2,2,5,1,5,2,1,5,5,2,2,1,2,5,2,2,1,5,5,1,2,2,1,1,2,5,1,5,5,5,2,2,5
"extremely immoral, extremely stingy, extremely selfish, extremely uncooperative and extremely unkind",1,1,2,1,5,2,1,2,1,2,4,5,1,2,1,2,5,2,2,1,1,5,2,1,4,2,1,2,5,2,2,1,1,1,1,5,5,1,2,2,2,5,1,5,2,1,5,1,5,5,5,1,1,2,4,1,1,4,4,1
"extremely moral, extremely generous, extremely unselfish, extremely cooperative and extremely kind",2,5,2,2,4,2,5,1,4,3,5,2,4,2,3,2,1,3,4,3,2,1,4,4,4,4,4,2,2,5,4,5,3,1,4,5,1,2,2,4,2,1,4,2,4,2,1,1,4,4,2,5,4,1,5,4,4,4,2,2
"extremely self-important, extremely distrustful, extremely unkind, extremely stingy and extremely unaltruistic",1,1,1,1,5,5,1,5,1,1,5,5,1,5,1,2,5,2,5,2,5,5,5,1,5,5,1,2,5,5,2,1,2,5,2,5,5,1,1,2,2,5,1,5,5,1,5,5,5,5,5,1,1,1,5,1,1,5,5,5
"extremely humble, extremely trustful, extremely kind, extremely generous and extremely altruistic",2,5,4,2,4,2,5,4,4,4,5,2,4,2,3,2,1,3,2,4,2,1,4,2,4,5,4,2,4,5,4,5,3,1,4,5,1,2,2,4,2,1,4,4,4,2,1,1,4,1,4,4,4,1,5,4,4,4,2,3
"extremely dishonest, extremely distrustful, extremely uncooperative, extremely disagreeable and extremely unkind",1,1,1,5,5,5,1,5,1,1,5,5,1,5,1,1,5,1,5,1,1,5,5,1,5,5,1,1,5,5,1,1,1,5,1,5,5,1,1,1,1,5,1,1,5,1,5,1,5,5,5,1,1,1,5,1,1,5,5,1
"extremely honest, extremely trustful, extremely cooperative, extremely agreeable and extremely kind",4,5,4,4,4,4,5,4,4,5,5,4,4,2,4,4,4,4,1,4,3,1,5,4,5,5,5,4,4,5,5,5,4,4,5,5,5,4,4,4,4,4,5,4,5,4,1,1,4,4,4,5,5,3,5,5,4,4,3,4
"extremely immoral, extremely selfish, extremely unkind, extremely disagreeable and extremely distrustful",1,1,2,1,5,2,1,2,1,2,4,5,1,4,2,2,5,2,2,2,2,5,2,1,2,2,1,2,1,2,2,1,2,1,2,2,4,1,1,2,2,5,1,2,2,1,5,2,2,2,2,1,2,2,4,1,1,4,2,2
"extremely moral, extremely unselfish, extremely kind, extremely agreeable and extremely trustful",2,5,4,2,4,2,5,4,4,4,4,2,4,2,3,4,4,3,2,4,2,1,4,4,4,4,4,2,4,5,4,5,4,2,4,4,1,2,4,4,2,4,5,2,4,2,4,1,4,4,4,5,5,1,4,4,5,4,2,3
"extremely unkind, extremely distrustful, extremely uncooperative, extremely stingy and extremely self-important",1,1,2,1,5,5,1,2,1,1,4,5,1,5,1,2,5,2,2,1,2,1,2,1,5,2,1,2,5,5,2,1,1,1,1,5,1,1,2,2,1,5,1,2,2,1,5,1,5,5,5,1,1,2,4,1,1,2,5,1
"extremely kind, extremely trustful, extremely cooperative, extremely generous and extremely humble",3,5,4,4,5,4,5,4,4,4,5,1,4,2,3,4,1,3,2,4,2,1,4,4,4,5,4,2,4,5,4,5,3,4,4,5,1,2,2,4,2,1,5,4,5,2,1,1,4,1,4,5,5,1,5,4,5,4,2,4
"extremely selfish, extremely stingy, extremely distrustful, extremely unaltruistic and extremely immoral",1,1,2,2,2,4,1,2,1,2,2,5,1,2,2,2,5,2,2,1,2,2,2,1,4,2,1,2,5,2,2,5,2,2,2,2,2,1,2,2,2,5,1,2,2,1,5,2,5,4,4,1,1,2,4,1,1,4,2,1
"extremely unselfish, extremely generous, extremely trustful, extremely altruistic and extremely moral",2,5,2,2,4,2,5,1,2,3,5,2,3,2,2,2,1,2,2,3,2,1,4,2,4,4,2,2,2,5,2,5,2,1,4,5,2,2,2,3,2,1,4,2,4,2,1,1,4,4,2,4,4,1,4,4,4,1,2,2
"extremely dishonest, extremely unkind, extremely distrustful, extremely unsympathetic and extremely self-important",1,1,5,5,5,5,1,5,1,5,5,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5,1,5,5,5,5,5,1,5,5,5,5,5,1,5,1,5,1,5,5,1,5,5,5,5,5,1,1,1,5,1,1,5,5,5
"extremely honest, extremely kind, extremely trustful, extremely sympathetic and extremely humble",3,5,4,3,4,3,5,4,4,4,4,2,4,2,3,4,4,3,2,3,3,1,4,4,4,4,4,2,3,4,4,5,3,2,4,4,1,3,3,4,3,4,4,3,4,2,1,2,4,2,4,4,5,2,4,4,4,2,2,3
"extremely irresponsible, extremely lazy, extremely impractical, extremely messy and extremely unsure",1,2,5,1,4,2,2,5,2,2,4,4,1,4,2,2,2,1,2,2,1,2,5,1,4,5,2,4,2,4,2,2,5,1,2,4,4,1,2,2,1,2,1,5,4,2,4,5,4,5,5,1,1,2,4,2,2,5,4,2
"extremely responsible, extremely hardworking, extremely practical, extremely orderly and extremely self-efficacious",1,2,1,1,2,2,4,1,2,2,2,2,5,2,2,2,2,5,2,2,2,1,1,2,4,5,2,1,2,1,2,4,5,1,2,4,1,5,1,2,2,2,5,3,2,1,2,1,2,2,2,3,5,1,4,2,2,1,1,2
"extremely undisciplined, extremely lazy, extremely extravagant, extremely disorganized and extremely impractical",2,2,5,1,5,2,2,5,2,4,4,4,1,4,2,2,4,1,2,2,1,2,5,1,4,5,2,4,2,4,2,2,1,2,4,4,4,1,2,2,1,2,1,2,4,4,4,5,4,5,5,2,1,2,4,2,2,5,4,2
"extremely self-disciplined, extremely hardworking, extremely thrifty, extremely organized and extremely practical",1,2,1,1,2,2,3,1,2,2,4,2,4,2,2,2,2,4,2,2,2,1,1,2,4,2,1,1,2,1,2,2,5,2,2,4,2,5,2,2,2,2,4,2,4,1,2,1,2,2,2,2,5,1,4,2,2,1,1,2
"extremely extravagant, extremely disorganized, extremely messy, extremely impractical and extremely lazy",1,2,5,1,5,2,2,5,2,2,4,4,1,4,2,2,4,1,2,2,1,2,4,1,4,5,2,4,5,4,2,2,1,2,4,4,4,1,2,2,1,2,1,5,4,4,4,5,4,5,5,1,1,2,4,2,2,5,4,2
"extremely thrifty, extremely organized, extremely orderly, extremely practical and extremely hardworking",1,2,1,1,2,2,2,1,2,2,4,2,4,2,2,2,2,5,2,1,2,1,2,2,4,2,1,1,2,2,2,2,5,2,2,4,2,5,1,2,2,2,4,2,4,1,2,1,2,2,2,2,5,1,4,1,2,1,2,2
"extremely impractical, extremely disorganized, extremely careless, extremely messy and extremely unsure",1,2,5,1,5,2,2,5,2,4,4,4,1,4,2,2,4,1,2,2,1,4,5,1,5,5,2,5,5,5,4,2,5,5,2,4,4,1,2,2,5,2,1,5,5,2,4,5,5,5,5,1,1,4,4,2,2,5,4,5
"extremely practical, extremely organized, extremely thorough, extremely orderly and extremely self-efficacious",2,2,1,1,2,4,4,1,2,2,2,2,5,2,2,2,2,5,2,2,2,1,1,2,4,2,2,1,2,1,2,4,5,2,2,4,2,5,1,2,2,2,5,2,2,2,2,1,2,2,2,3,5,1,4,2,2,1,1,2
"extremely impractical, extremely unsure, extremely lazy, extremely negligent and extremely messy",1,2,5,2,4,2,2,5,2,2,4,2,1,4,2,2,2,1,2,2,2,2,4,1,4,5,2,4,5,4,2,2,5,2,2,4,4,5,2,2,1,2,1,5,4,2,3,5,4,4,4,1,1,2,4,1,2,5,4,2
"extremely practical, extremely self-efficacious, extremely hardworking, extremely conscientious and extremely orderly",1,2,1,1,4,2,4,1,2,2,2,2,5,2,2,2,2,5,2,2,3,1,1,2,4,5,2,1,2,1,2,4,5,1,2,4,1,5,1,2,2,2,5,3,1,1,2,1,2,2,2,3,5,1,4,2,2,1,1,2
"extremely messy, extremely unsure, extremely lazy, extremely disorganized and extremely impractical",1,2,5,1,4,1,2,5,2,2,4,2,1,4,2,2,2,1,2,2,2,2,5,1,4,5,2,4,5,4,4,2,1,4,2,4,4,1,2,2,1,2,1,5,4,2,2,5,5,4,4,2,1,2,4,2,2,4,4,2
"extremely orderly, extremely self-efficacious, extremely hardworking, extremely organized and extremely practical",2,2,1,1,1,4,4,1,4,2,2,2,5,2,2,2,2,5,2,2,3,1,1,2,4,4,2,1,3,1,2,4,5,1,2,4,1,5,1,2,2,2,5,2,4,1,2,1,2,2,2,3,5,1,4,2,2,1,1,2
"extremely careless, extremely disorganized, extremely unsure, extremely irresponsible and extremely negligent",1,1,5,1,5,1,1,5,1,2,5,4,1,5,1,2,1,1,1,1,1,5,5,1,5,5,1,5,5,5,2,1,1,1,1,5,5,1,1,1,1,2,1,5,5,5,5,5,5,5,5,1,1,5,5,1,2,5,5,2
"extremely thorough, extremely organized, extremely self-efficacious, extremely responsible and extremely conscientious",2,2,1,2,4,4,5,1,4,4,4,2,5,2,3,2,4,5,2,2,4,2,5,4,4,5,2,1,4,1,2,4,5,1,4,4,1,5,2,4,2,2,5,4,4,2,1,1,2,1,2,4,5,1,5,3,2,1,1,3
"extremely unselfconscious, extremely easygoing, extremely at ease, extremely patient and extremely happy",4,5,4,5,4,3,5,4,5,4,4,2,3,1,3,2,4,2,1,3,3,2,4,5,4,4,4,2,5,4,1,5,3,4,4,4,2,3,1,2,2,1,4,4,4,3,2,2,4,2,4,4,4,1,4,5,4,2,1,4
"extremely self-conscious, extremely anxious, extremely nervous, extremely irritable and extremely depressed",1,1,2,1,5,1,2,2,1,2,5,4,1,5,1,4,4,2,4,1,2,2,5,1,5,5,1,1,5,4,2,2,2,5,2,4,4,1,5,2,1,4,1,5,5,1,5,2,5,5,5,2,1,5,5,1,2,2,5,2
"extremely easygoing, extremely emotionally stable, extremely relaxed, extremely unselfconscious and extremely at ease",3,4,2,5,4,2,5,3,4,4,4,2,4,1,3,2,3,2,1,3,3,2,4,5,4,4,4,2,5,4,2,4,3,1,4,4,2,3,1,2,2,2,4,3,4,2,2,2,4,2,4,4,3,1,4,3,4,2,1,3
"extremely anxious, extremely emotionally unstable, extremely tense, extremely self-conscious and extremely nervous",5,2,2,5,5,2,2,2,2,2,5,4,2,5,2,2,4,2,5,2,2,2,5,1,5,5,2,2,5,4,2,2,2,5,4,5,5,1,5,2,2,4,2,5,5,2,4,2,5,5,5,2,2,5,5,2,2,4,5,2
"extremely happy, extremely easygoing, extremely level-headed, extremely relaxed and extremely unselfconscious",5,3,2,5,4,3,5,3,5,3,1,2,3,1,3,2,2,3,1,3,3,2,1,5,4,4,4,2,5,4,2,4,3,1,4,4,1,3,1,2,2,2,3,4,1,3,2,2,4,2,3,4,3,1,4,5,4,2,1,3
"extremely depressed, extremely anxious, extremely impulsive, extremely tense and extremely self-conscious",5,2,5,5,5,2,2,5,1,2,5,4,1,5,2,2,4,1,5,2,2,2,5,1,5,5,1,2,5,4,2,2,1,5,2,5,5,1,5,2,5,4,1,5,5,2,4,5,5,5,5,2,1,5,5,1,2,5,5,2
"extremely easygoing, extremely at ease, extremely level-headed, extremely contented and extremely unselfconscious",3,4,4,5,3,3,4,3,4,4,4,2,3,2,3,3,3,3,1,3,3,2,4,5,3,3,4,2,5,4,2,4,3,3,4,4,2,3,2,2,2,3,4,3,4,3,3,3,3,3,4,4,3,1,4,3,4,3,1,3
"extremely anxious, extremely nervous, extremely impulsive, extremely discontented and extremely self-conscious",1,2,4,5,5,2,2,2,2,2,5,4,2,5,2,2,4,1,5,2,2,5,5,1,5,5,2,2,5,5,5,2,2,5,2,5,4,2,5,2,2,4,2,5,5,2,4,2,5,5,4,2,2,5,5,2,2,5,5,2
"extremely emotionally stable, extremely at ease, extremely happy, extremely level-headed and extremely relaxed",3,4,2,5,4,3,5,3,4,4,4,2,4,1,3,3,2,4,2,3,3,1,2,4,4,3,3,2,5,4,2,4,3,1,4,4,2,4,1,4,2,2,4,3,4,2,2,2,4,2,4,4,4,1,4,5,4,2,1,3
"extremely emotionally unstable, extremely nervous, extremely depressed, extremely impulsive and extremely tense",1,2,4,5,5,2,2,2,1,2,5,4,1,5,2,2,2,1,5,2,2,5,5,1,5,5,2,2,5,5,2,2,2,5,2,4,5,1,5,2,5,4,1,5,5,2,4,5,5,5,5,2,2,5,4,2,2,5,5,2
"extremely relaxed, extremely level-headed, extremely emotionally stable, extremely easygoing and extremely unselfconscious",3,3,3,5,3,3,4,3,4,4,4,2,4,2,3,3,3,3,1,3,3,2,3,4,3,3,4,2,5,3,2,4,3,3,3,4,2,3,3,4,2,3,4,3,4,3,3,3,3,3,3,4,4,2,4,2,3,3,1,3
"extremely tense, extremely impulsive, extremely emotionally unstable, extremely anxious and extremely self-conscious",5,2,4,5,5,2,2,2,5,2,5,4,1,5,2,5,4,1,5,2,2,5,5,1,5,5,2,2,5,5,2,2,2,5,4,5,5,2,5,2,5,4,2,5,5,2,5,5,5,4,5,2,2,5,4,5,2,5,5,2
"extremely contented, extremely calm, extremely level-headed, extremely patient and extremely unselfconscious",3,4,3,5,4,3,4,3,4,4,2,2,4,2,3,3,3,3,2,3,3,2,2,5,4,3,4,2,5,4,2,4,3,1,3,4,2,3,1,4,1,2,4,4,4,2,3,2,4,2,3,4,4,1,4,2,4,2,1,3
"extremely discontented, extremely angry, extremely impulsive, extremely irritable and extremely self-conscious",1,1,2,1,5,5,1,5,1,2,5,5,1,5,1,1,5,1,5,1,2,5,5,1,5,5,1,2,5,5,2,2,1,5,2,5,5,1,5,2,5,5,1,5,5,5,5,5,5,5,5,1,2,5,5,1,1,5,5,5
"extremely unsophisticated, extremely predictable, extremely unimaginative, extremely artistically unappreciative and extremely socially conservative",1,2,2,2,5,4,4,4,2,2,2,4,4,2,2,2,4,4,4,1,2,2,4,2,5,2,2,2,2,5,2,2,4,4,1,4,4,4,2,1,2,4,4,2,4,2,4,2,4,5,4,4,4,2,4,2,2,2,4,2
"extremely sophisticated, extremely spontaneous, extremely imaginative, extremely artistically appreciative and extremely socially progressive",4,4,2,3,1,4,4,2,4,5,4,2,2,2,4,2,2,2,4,5,2,2,4,4,4,4,4,2,4,1,2,4,2,2,5,4,4,2,2,4,4,2,2,4,4,4,2,2,2,2,2,4,4,1,2,4,4,4,2,5
"extremely artistically unappreciative, extremely unimaginative, extremely uninquisitive, extremely unreflective and extremely socially conservative",1,2,2,2,5,2,2,2,2,2,2,4,2,2,1,2,4,4,2,1,2,2,2,2,5,2,2,2,2,5,2,2,4,2,1,2,2,2,2,1,2,4,2,2,5,1,4,2,2,5,4,4,2,2,5,1,2,2,2,1
"extremely artistically appreciative, extremely imaginative, extremely curious, extremely reflective and extremely socially progressive",2,4,3,2,1,4,5,2,4,5,4,2,2,3,5,2,2,2,4,5,2,2,4,4,4,4,4,2,4,1,2,4,2,2,5,4,2,2,2,5,3,2,2,2,4,3,2,2,4,2,2,4,4,2,4,4,4,4,2,5
"extremely unimaginative, extremely unanalytical, extremely socially conservative, extremely emotionally closed and extremely predictable",1,2,2,2,5,2,3,2,2,1,4,2,4,2,1,4,4,4,2,1,2,2,3,2,5,2,2,2,2,5,2,2,4,2,2,4,2,4,2,1,2,4,4,5,5,1,4,2,2,5,4,4,3,2,5,2,2,2,2,1
"extremely imaginative, extremely analytical, extremely socially progressive, extremely emotionally aware and extremely spontaneous",2,4,2,2,1,4,5,2,4,5,4,2,2,3,5,2,2,2,4,4,3,2,2,4,4,4,4,2,4,1,2,4,2,2,5,4,2,2,2,5,4,2,3,4,1,4,2,2,4,2,2,3,4,2,2,4,4,2,2,5
"extremely socially conservative, extremely unintelligent, extremely unanalytical, extremely artistically unappreciative and extremely uninquisitive",1,1,4,2,5,5,5,4,2,2,4,4,2,4,2,2,5,2,2,5,2,5,4,1,5,4,2,4,5,5,2,2,5,5,1,4,4,2,2,1,2,4,2,2,5,1,4,5,5,5,4,4,2,2,5,2,2,2,5,2
"extremely socially progressive, extremely intelligent, extremely analytical, extremely artistically appreciative and extremely curious",2,2,2,2,4,4,5,2,4,5,4,2,2,2,4,2,2,2,4,5,2,2,4,4,2,4,3,2,3,4,2,4,2,2,5,4,4,2,2,5,3,2,3,4,4,3,2,2,4,2,2,4,4,2,2,4,4,4,2,4
"extremely unreflective, extremely unsophisticated, extremely unanalytical, extremely predictable and extremely emotionally closed",1,2,2,2,5,2,2,4,2,1,4,2,2,2,2,4,5,2,2,1,2,2,4,1,5,2,2,4,1,5,2,2,2,1,2,5,5,2,2,1,2,4,2,5,5,1,5,2,5,5,5,2,2,1,5,1,2,2,5,2
"extremely reflective, extremely sophisticated, extremely analytical, extremely spontaneous and extremely emotionally aware",2,4,2,2,4,4,4,2,4,4,4,2,2,2,4,2,2,2,2,4,3,2,2,4,4,4,2,2,4,4,2,4,3,2,4,4,2,3,4,5,2,2,4,4,4,2,2,2,4,2,4,4,4,2,4,3,4,2,2,4
"extremely unsophisticated, extremely socially conservative, extremely unimaginative, extremely emotionally closed and extremely predictable",1,2,2,2,5,2,2,2,2,2,4,4,4,2,2,2,4,4,2,2,2,2,2,2,5,2,2,2,2,5,2,2,4,4,2,2,2,2,2,2,2,4,2,3,4,2,2,2,2,5,4,4,4,2,4,2,2,2,2,2
"extremely sophisticated, extremely socially progressive, extremely imaginative, extremely emotionally aware and extremely spontaneous",3,4,2,3,2,4,4,2,4,4,4,2,2,2,4,2,2,2,3,4,3,2,4,4,4,4,4,2,4,4,2,4,2,2,4,4,4,2,3,4,4,2,3,2,4,4,2,2,4,2,2,4,4,2,4,4,4,3,3,5
"extremely unimaginative, extremely unaesthetic, extremely unanalytical, extremely unsophisticated and extremely predictable",1,2,4,2,4,2,4,4,2,1,4,2,4,2,1,2,2,4,3,1,2,2,4,2,4,2,2,4,2,5,2,2,4,2,1,4,2,4,2,1,2,2,3,2,4,2,3,2,2,5,4,4,3,2,4,2,2,2,2,1
"extremely imaginative, extremely aesthetic, extremely analytical, extremely sophisticated and extremely spontaneous",2,3,2,3,4,4,4,2,4,5,4,3,2,3,5,2,2,2,4,5,3,2,4,4,4,4,3,2,4,1,2,4,2,2,5,4,4,2,3,5,4,3,2,2,1,4,2,2,4,2,2,4,4,2,4,4,4,4,3,5
"very unenergetic, very inactive, very introverted, very unassertive and very unadventurous",5,2,3,2,4,1,3,4,2,2,4,2,2,4,2,4,2,2,2,2,1,1,4,2,4,4,2,2,2,4,4,2,2,4,2,4,2,2,2,2,5,2,2,2,4,1,2,2,4,4,4,4,2,4,4,1,2,2,2,2
"very energetic, very active, very extraverted, very assertive and very adventurous and daring",5,1,2,1,4,5,2,1,4,5,4,2,2,2,5,1,2,1,2,3,5,4,2,2,5,1,2,2,2,4,1,2,2,2,4,4,2,2,1,2,5,2,2,2,2,5,1,2,2,2,1,1,5,1,4,5,2,2,2,5
"very unassertive, very timid, very inactive, very gloomy and very unfriendly",5,2,2,2,2,1,2,4,2,2,4,2,2,4,2,4,2,2,2,2,1,1,2,2,4,4,2,2,2,2,2,2,2,4,2,4,2,2,4,2,5,2,2,2,4,1,2,2,5,2,4,2,1,5,4,2,2,2,2,2
"very assertive, very bold, very active, very cheerful and very friendly",5,2,2,2,4,5,4,1,4,4,4,2,3,2,4,1,4,2,1,3,5,2,4,3,4,5,2,2,4,4,1,4,3,2,4,4,2,4,1,2,5,2,4,4,4,4,2,2,4,2,2,2,5,1,4,5,4,2,2,4
