,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
"uncooperative, unkind, selfish, disagreeable and  unaltruistic",1,1,4,1,4,4,1,4,1,1,4,5,1,5,1,2,5,1,4,1,5,5,2,4,5,4,1,4,1,2,2,1,1,2,1,2,5,1,2,2,2,5,1,2,2,2,5,5,4,5,1,1,1,1,4,1,1,5,5,2
"a bit agreeable, a bit cooperative, a bit altruistic, a bit unselfish and a bit trustful",3,4,2,4,2,2,5,2,4,4,2,1,4,2,4,2,1,3,2,4,2,1,2,4,2,2,4,2,4,2,3,4,3,2,4,2,1,4,2,4,3,1,4,4,2,2,1,1,3,2,2,5,4,2,2,4,4,2,2,3
"orderly, self-disciplined, organized, conscientious and  thorough",2,3,1,4,2,2,5,1,4,3,2,1,5,1,2,2,1,5,2,2,2,1,1,4,1,1,4,1,5,2,2,4,5,2,3,2,1,5,1,4,2,1,5,5,2,2,1,1,4,2,1,5,5,1,2,2,3,1,1,2
"disorganized, lazy, undisciplined, irresponsible and  impractical",2,4,5,2,4,2,3,5,2,3,4,4,1,4,2,3,2,1,4,3,1,4,4,2,4,4,4,4,2,3,3,2,1,2,4,4,4,1,4,3,2,2,1,2,4,4,3,5,2,4,4,4,1,4,4,2,3,5,4,2
"very creative, very socially progressive, very curious, very intelligent and very imaginative",4,5,1,3,1,4,5,1,4,5,1,1,2,1,5,2,1,2,1,5,1,1,2,4,1,2,1,1,2,1,2,1,1,1,5,2,1,1,2,5,4,1,1,2,1,4,1,1,2,1,1,5,1,2,1,5,5,4,4,5
"extremely unsophisticated, extremely predictable, extremely unimaginative, extremely artistically unappreciative and extremely socially conservative",2,1,4,2,5,2,5,5,3,1,5,5,5,2,1,4,5,5,4,1,5,5,5,5,5,4,2,4,5,5,2,4,5,5,1,4,4,5,2,1,3,5,5,5,5,2,4,5,5,5,5,5,5,2,5,2,2,4,4,1
"very unaltruistic, very distrustful, very self-important, very selfish and very stingy",1,1,4,1,5,5,1,4,1,1,5,5,1,4,1,3,5,1,4,1,5,5,2,1,5,4,1,4,2,1,1,1,1,2,1,1,5,4,1,5,2,5,1,5,1,2,5,5,1,5,1,1,2,2,5,1,1,1,4,2
"very unenergetic, very inactive, very introverted, very unassertive and very unadventurous",1,2,4,4,4,1,4,5,2,1,5,3,4,4,1,5,3,2,3,2,1,1,5,2,4,5,3,3,3,4,5,3,2,4,3,4,2,1,4,3,1,3,3,4,4,1,3,4,3,4,5,4,1,4,4,1,3,3,3,1
"lazy, careless, negligent, messy and  undisciplined",2,3,5,4,4,2,2,5,2,2,4,2,1,4,2,2,4,1,3,2,1,3,5,2,4,5,4,5,2,3,2,1,1,2,2,4,4,1,3,2,1,2,1,1,3,4,3,5,4,3,4,2,1,4,4,2,2,4,4,2
"very calm, very patient, very easygoing, very happy and very emotionally stable",4,5,1,5,3,4,5,1,5,5,2,1,5,1,4,4,1,4,1,4,2,1,1,5,2,3,5,2,5,2,2,5,4,1,4,2,1,4,1,4,3,1,5,5,2,3,1,1,5,2,5,5,5,1,2,5,5,1,1,4
"extremely discontented, extremely angry, extremely impulsive, extremely irritable and extremely self-conscious",1,1,5,1,4,1,1,1,1,2,5,5,1,5,2,1,4,1,5,1,2,5,5,1,5,2,1,5,1,2,2,1,1,5,2,4,5,1,5,4,4,5,1,1,2,1,5,5,1,5,1,1,5,5,5,1,1,5,5,3
"very nervous, very tense, very impulsive, very discontented and very anxious",1,2,5,1,4,1,2,2,1,2,1,4,1,5,2,1,4,1,5,2,1,5,5,1,2,2,1,5,1,2,2,2,1,5,2,4,4,2,4,4,4,4,1,1,2,4,4,4,1,4,2,2,2,5,2,2,1,5,5,4
"unselfconscious, at ease, calm, happy and  relaxed",4,5,2,5,4,4,5,2,5,5,2,1,5,1,4,4,1,4,1,4,2,1,1,5,2,2,5,4,5,2,2,5,4,1,4,2,1,4,1,4,4,1,5,5,4,4,1,2,5,2,2,5,4,1,4,4,5,4,1,4
"messy, unsure, undisciplined, extravagant and  careless",4,4,5,2,2,2,2,4,2,5,2,4,1,4,4,1,2,1,4,1,2,4,5,2,3,4,4,5,2,2,3,2,1,4,4,4,4,1,4,4,5,2,1,1,4,5,3,5,2,4,4,2,2,4,4,5,4,5,5,5
"unimaginative, emotionally closed, unreflective, unintelligent and  artistically unappreciative",2,2,3,3,5,3,3,4,3,5,5,5,4,2,2,4,4,4,4,5,3,3,4,3,5,3,3,4,3,5,4,4,4,3,2,4,4,3,3,2,3,4,4,4,5,2,4,5,3,5,4,3,3,3,5,2,3,3,2,2
"extremely easygoing, extremely emotionally stable, extremely relaxed, extremely unselfconscious and extremely at ease",5,5,2,5,3,4,5,2,5,5,4,1,5,1,4,4,2,3,1,4,2,1,1,5,2,4,5,4,5,2,2,5,2,1,4,2,1,4,1,4,4,1,5,5,2,4,2,2,5,3,5,5,4,1,4,4,5,2,1,4
"imaginative, emotionally aware, reflective, intelligent and  artistically appreciative",2,5,1,1,1,2,5,2,4,5,2,2,2,2,5,1,1,2,4,5,1,1,1,4,1,2,4,4,1,1,1,5,2,1,5,4,1,2,2,5,1,2,1,1,1,1,1,1,2,1,2,5,1,2,1,5,4,2,1,1
"altruistic, trustful, honest, moral and  cooperative",3,5,1,4,2,2,5,1,5,5,2,1,5,1,3,2,1,3,2,4,2,1,2,5,1,2,5,1,4,2,2,5,4,2,4,4,1,4,2,4,3,1,5,4,2,2,1,1,4,1,1,5,5,1,2,4,5,1,1,3
"neither irresponsible nor responsible, neither lazy nor hardworking, neither undisciplined nor self-disciplined, neither impractical nor practical, and neither unsure nor self-efficacious",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"a bit self-important, a bit uncooperative, a bit disagreeable, a bit unaltruistic and a bit unkind",1,1,4,2,4,5,2,2,2,2,4,4,2,4,4,2,4,1,4,4,5,4,2,5,4,2,1,4,2,2,2,1,2,2,4,1,4,4,2,5,4,5,2,4,2,4,4,4,4,4,1,2,4,2,4,2,1,4,4,4
"a bit discontented, a bit angry, a bit tense, a bit self-conscious and a bit anxious",2,2,4,1,4,1,3,2,1,2,4,4,2,4,3,4,2,2,4,3,1,4,4,2,2,4,2,4,1,4,4,2,2,5,2,4,4,2,4,4,1,4,2,2,4,2,4,4,1,4,2,3,2,4,4,1,2,4,4,2
"very patient, very contented, very at ease, very level-headed and very calm",2,5,1,5,3,2,5,1,5,4,4,1,5,1,4,4,1,4,1,4,2,1,1,5,2,4,5,1,5,2,4,5,4,1,4,4,1,4,1,4,2,1,5,5,2,2,1,1,5,2,5,5,5,1,3,2,5,1,1,3
"a bit self-efficacious, a bit self-disciplined, a bit conscientious, a bit hardworking and a bit organized",2,3,1,4,2,4,4,1,4,4,2,2,4,2,4,2,1,4,2,2,2,1,2,4,1,1,3,2,4,2,2,4,4,2,4,2,1,4,2,4,4,2,4,4,2,2,1,1,4,2,1,4,4,1,2,4,4,2,1,4
"a bit disorganized, a bit lazy, a bit impractical, a bit unsure and a bit negligent",2,4,4,2,3,2,4,4,2,2,4,2,2,4,2,3,2,1,4,3,1,2,4,2,4,4,4,4,2,3,3,2,1,4,3,4,3,1,3,2,1,2,2,2,4,2,2,4,2,3,4,3,2,4,4,2,2,4,4,2
"very angry, very self-conscious, very nervous, very emotionally unstable and very depressed",1,1,5,1,4,1,2,2,1,2,5,5,1,5,1,4,4,1,5,2,1,5,5,1,4,4,1,4,1,4,5,1,1,5,2,5,5,1,5,4,1,5,1,1,4,2,4,4,1,5,4,1,2,5,4,1,1,5,5,2
"very unsure, very careless, very lazy, very undisciplined and very irresponsible",2,3,5,2,3,2,2,5,2,2,4,3,1,4,2,3,3,1,3,3,1,4,5,2,4,4,3,5,2,3,3,2,1,3,3,4,4,1,3,2,2,3,1,2,4,3,3,5,2,4,4,2,1,4,4,2,2,5,4,2
"extremely honest, extremely trustful, extremely cooperative, extremely agreeable and extremely kind",5,5,2,5,3,2,5,2,5,1,2,1,5,1,4,4,1,4,2,4,2,1,2,5,2,3,5,2,5,2,4,5,4,2,5,4,1,4,2,4,1,1,5,4,2,1,1,1,2,1,2,5,5,1,2,5,5,2,1,4
"extremely happy, extremely easygoing, extremely level-headed, extremely relaxed and extremely unselfconscious",5,5,2,5,2,4,5,2,5,5,1,1,5,1,4,2,1,2,1,4,2,1,2,5,2,2,5,4,5,2,2,5,4,1,4,2,1,4,1,4,5,1,5,5,2,5,1,2,5,2,2,5,4,1,2,5,5,2,1,4
"neither socially conservative nor socially progressive, neither predictable nor spontaneous, neither emotionally closed nor emotionally aware, neither unsophisticated nor sophisticated, and neither unaesthetic nor aesthetic",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"extremely unselfish, extremely generous, extremely trustful, extremely altruistic and extremely moral",5,5,1,5,1,2,5,1,5,5,1,1,5,1,1,2,1,2,2,1,1,1,1,5,1,1,5,1,5,1,2,5,4,1,5,5,1,4,2,5,4,1,5,4,1,2,1,1,5,1,5,5,5,1,1,5,5,1,1,4
"discontented, impulsive, self-conscious, angry and  anxious",1,1,4,1,4,1,2,2,1,2,1,4,1,5,2,1,4,1,5,2,1,4,5,1,2,4,1,5,1,4,4,1,1,5,2,4,4,1,5,4,4,5,1,1,2,2,4,5,1,5,1,1,1,5,5,1,1,4,1,2
"very unenergetic, very inactive, very timid, very gloomy and very unfriendly",1,2,4,1,4,1,2,5,1,1,5,4,2,4,1,5,4,2,4,1,1,1,5,1,5,5,2,4,1,4,5,1,1,5,2,5,2,1,5,2,1,4,2,4,4,1,4,4,1,4,5,2,1,5,4,1,1,3,4,1
"a bit self-important, a bit uncooperative, a bit distrustful, a bit stingy and a bit disagreeable",1,1,2,2,4,4,1,1,2,2,4,4,2,4,5,2,4,1,4,2,5,4,2,2,1,2,1,1,4,2,1,1,1,4,1,4,4,2,1,5,1,4,2,4,1,1,4,4,4,4,2,2,2,2,2,2,1,1,4,4
"very emotionally aware, very analytical, very creative, very spontaneous and very artistically appreciative",3,1,1,3,1,4,5,2,4,5,2,2,1,2,1,2,1,3,1,5,1,1,2,4,1,2,4,3,1,1,1,4,2,1,5,2,1,1,1,5,1,2,1,2,1,2,1,2,1,1,2,5,4,1,1,1,4,2,4,1
"altruistic, kind, unselfish, trustful and  cooperative",4,5,2,4,2,2,5,1,5,5,2,1,5,1,4,2,1,2,2,4,1,1,2,5,1,2,5,2,4,2,2,5,3,2,4,2,1,4,2,4,3,1,5,4,2,2,1,1,4,1,2,5,4,1,2,4,5,1,1,3
"extremely self-important, extremely distrustful, extremely unkind, extremely stingy and extremely unaltruistic",1,1,1,1,5,5,1,1,1,1,5,5,1,4,1,1,5,2,4,1,5,5,1,5,5,1,1,1,5,1,1,1,2,4,1,1,4,5,1,5,2,5,1,5,1,1,5,1,5,5,1,1,2,1,5,1,1,1,1,5
"a bit active, a bit bold, a bit energetic, a bit friendly and a bit cheerful",4,4,2,3,2,4,5,1,4,5,1,2,4,2,4,2,1,2,2,4,4,2,2,4,2,2,4,4,4,2,2,5,2,2,4,2,2,4,2,3,4,2,4,2,2,4,1,2,4,2,2,5,4,1,2,5,4,4,2,4
"irresponsible, unsure, undisciplined, careless and  disorganized",4,4,5,2,3,2,2,4,2,4,3,4,1,4,4,2,4,1,4,4,2,4,5,2,4,4,4,4,2,3,3,2,1,3,3,4,4,1,4,3,4,2,1,2,4,4,3,5,2,4,4,2,2,3,4,4,4,4,4,4
"very tense, very self-conscious, very depressed, very emotionally unstable and very discontented",1,1,5,1,4,1,2,4,1,2,5,4,1,5,2,4,4,1,5,2,1,4,5,1,4,4,1,4,1,4,5,2,1,5,2,5,4,1,5,4,1,5,1,1,4,1,4,4,1,4,4,2,2,5,4,1,1,4,1,2
"extremely thorough, extremely organized, extremely self-efficacious, extremely responsible and extremely conscientious",2,4,1,2,2,5,5,1,5,5,1,1,5,1,5,2,1,5,2,4,5,1,1,5,1,1,4,1,5,1,1,5,5,2,4,1,1,5,1,5,4,2,5,5,1,2,1,1,4,1,1,5,5,1,1,4,4,1,1,4
"extremely unsophisticated, extremely socially conservative, extremely unimaginative, extremely emotionally closed and extremely predictable",1,1,1,2,5,2,4,4,2,1,5,5,5,1,1,4,5,5,4,1,5,5,2,2,5,4,1,2,5,5,2,2,5,4,1,5,4,4,1,1,2,5,5,5,5,1,5,1,5,5,5,4,4,1,5,1,1,1,2,1
"unaesthetic, uncreative, socially conservative, unimaginative and  unintelligent",1,2,5,2,5,2,4,4,2,1,4,5,4,3,1,4,5,5,4,1,2,4,4,2,5,4,2,4,2,5,3,2,4,3,1,5,4,4,3,1,2,5,4,4,5,2,5,5,3,5,5,3,3,4,5,2,2,4,4,1
"altruistic, humble, cooperative, kind and  trustful",2,5,2,4,3,2,5,1,5,4,2,1,5,1,3,4,1,2,2,4,1,1,2,4,2,2,5,2,4,2,4,5,3,2,4,4,1,3,2,4,3,1,5,4,2,2,1,1,4,1,2,5,4,1,2,4,5,1,1,3
"a bit aesthetic, a bit artistically appreciative, a bit creative, a bit spontaneous and a bit imaginative",2,4,4,1,1,1,5,2,4,5,2,2,2,4,4,2,1,2,4,5,2,2,2,4,2,2,4,4,1,1,4,1,2,1,5,2,1,2,1,4,4,2,1,2,1,1,2,2,2,1,2,4,2,2,2,4,4,4,4,4
"very dishonest, very selfish, very distrustful, very unaltruistic and very uncooperative",1,1,4,1,5,5,1,5,1,2,2,5,1,4,1,2,5,1,5,1,5,5,4,5,5,5,1,5,1,5,1,1,1,1,1,1,5,1,2,1,2,5,1,1,2,2,5,5,5,5,1,1,1,2,4,1,1,5,5,2
"level-headed, relaxed, at ease, emotionally stable and  unselfconscious",3,5,1,5,3,4,5,1,5,4,4,1,5,1,4,4,1,4,2,4,2,1,2,5,2,3,5,2,5,2,2,4,4,1,4,2,1,4,1,4,3,1,4,5,2,3,1,1,5,2,2,5,4,1,2,3,5,2,1,4
"extremely extravagant, extremely disorganized, extremely messy, extremely impractical and extremely lazy",2,4,5,1,2,1,4,5,2,2,2,2,1,5,4,1,2,1,2,5,1,2,5,1,4,5,4,5,1,2,2,2,1,2,5,4,4,1,4,3,1,2,1,1,2,4,2,5,4,3,4,2,1,4,4,5,4,1,5,5
"very socially progressive, very emotionally aware, very aesthetic, very reflective and very imaginative",1,5,1,3,1,2,5,2,4,5,2,1,1,4,5,4,1,2,4,5,2,1,4,5,1,2,5,2,2,1,4,5,2,4,5,2,1,2,4,5,3,1,1,2,1,3,1,2,2,1,1,5,3,2,1,5,5,4,4,5
"a bit self-important, a bit disagreeable, a bit selfish, a bit unaltruistic and a bit unkind",2,1,1,2,4,1,2,2,2,4,2,1,2,4,5,1,4,4,4,5,5,4,2,1,1,1,2,4,4,1,1,1,4,4,2,4,4,5,2,5,4,4,4,4,1,4,4,4,4,4,1,2,5,2,4,2,1,4,4,5
"very careless, very negligent, very messy, very unsure and very disorganized",2,3,5,1,3,2,2,4,2,3,3,3,1,4,2,3,2,1,4,3,1,4,5,2,4,4,3,5,2,3,3,2,1,4,3,4,4,1,3,2,3,3,1,1,4,3,3,5,2,3,4,2,1,4,4,2,2,5,4,3
"sophisticated, intelligent, aesthetic, imaginative and  artistically appreciative",2,4,1,2,1,2,5,1,4,5,1,1,2,2,5,4,1,2,4,5,1,1,2,5,1,2,4,1,2,5,1,5,2,2,5,4,1,2,2,5,2,2,2,3,1,1,1,1,2,1,1,5,1,1,1,2,4,1,1,4
"very self-important, very disagreeable, very unsympathetic, very uncooperative and very unkind",1,1,1,1,5,5,1,1,1,1,1,5,1,1,1,5,5,1,5,1,5,5,1,5,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,5,5,5,1,5,1,2,5,5,5,5,1,1,2,1,5,1,1,1,1,5
"a bit socially progressive, a bit creative, a bit artistically appreciative, a bit imaginative and a bit emotionally aware",2,5,2,3,1,2,5,2,4,5,2,2,3,4,4,2,1,2,4,5,2,1,2,4,1,2,4,2,3,1,4,4,2,2,5,4,1,2,2,4,3,2,3,2,1,2,1,2,2,1,2,4,4,2,2,4,4,1,2,4
"socially conservative, unreflective, uncreative, unaesthetic and  uninquisitive",2,2,2,3,5,4,5,4,3,1,5,5,5,3,1,4,5,5,3,1,5,5,3,5,5,3,2,2,4,5,3,3,5,3,1,4,4,5,3,1,3,5,5,5,5,2,4,5,4,5,5,5,4,3,5,1,2,2,2,1
"very assertive, very bold, very active, very cheerful and very friendly",5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,2,2,5,5,1,1,5,1,1,5,2,5,1,1,5,4,1,5,1,1,5,1,4,5,1,5,4,1,5,1,1,5,1,1,5,5,1,1,5,5,2,1,5
"a bit conscientious, a bit self-efficacious, a bit orderly, a bit thrifty and a bit hardworking",2,3,1,3,2,4,4,1,4,3,2,2,4,2,3,2,1,4,4,2,2,1,2,4,2,2,3,2,4,2,2,4,4,2,2,2,1,4,2,4,4,2,4,4,2,2,1,1,3,2,1,4,4,2,2,3,3,2,1,2
"emotionally stable, happy, calm, relaxed and  unselfconscious",4,5,1,5,2,4,5,1,5,5,2,1,5,1,4,4,1,4,1,4,2,1,1,5,2,2,5,2,5,2,2,5,4,1,4,2,1,4,1,4,4,1,5,5,2,4,1,1,5,2,2,5,5,1,2,5,5,2,1,4
"a bit negligent, a bit unsure, a bit messy, a bit extravagant and a bit lazy",2,4,4,2,3,2,3,4,2,3,4,2,2,3,2,2,2,1,3,2,2,2,4,2,3,4,4,4,2,2,3,2,1,3,3,3,2,2,3,3,2,2,2,2,4,2,2,4,2,2,4,3,2,3,4,2,2,4,3,2
"neither selfish nor unselfish, neither unsympathetic nor sympathetic, neither self-important nor humble, neither uncooperative nor cooperative, and neither distrustful nor trustful",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"responsible, self-efficacious, self-disciplined, thorough and  organized",2,4,1,4,2,5,5,1,5,4,1,1,5,1,4,2,1,5,2,3,4,1,1,5,1,1,4,1,5,2,2,5,5,2,4,2,1,5,1,4,4,1,5,5,2,2,1,1,4,1,1,5,5,1,1,3,4,1,1,3
"a bit unenergetic, a bit introverted, a bit unfriendly, a bit unadventurous and a bit gloomy",1,2,4,2,4,1,3,4,2,2,4,4,3,4,1,4,4,2,4,2,1,1,4,2,4,4,2,4,2,4,4,2,2,4,2,4,2,2,4,4,1,4,2,4,4,1,4,4,2,4,4,2,2,4,4,1,2,3,4,1
