"file","model","factor1","factor2","correlation"
"persona_Llama3_70b_zero_shot","FFM","Extraversion","Agreeableness",0.098716131137446
"persona_Llama3_70b_zero_shot","FFM","Extraversion","Conscientiousness",0.25547401827867
"persona_Llama3_70b_zero_shot","FFM","Extraversion","Neuroticism",-0.586372260858026
"persona_Llama3_70b_zero_shot","FFM","Extraversion","Openness",0.510050796838934
"persona_Llama3_70b_zero_shot","FFM","Agreeableness","Conscientiousness",0.768385403506619
"persona_Llama3_70b_zero_shot","FFM","Agreeableness","Neuroticism",-0.535030257869636
"persona_Llama3_70b_zero_shot","FFM","Agreeableness","Openness",0.25224210215007
"persona_Llama3_70b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.625186413922326
"persona_Llama3_70b_zero_shot","FFM","Conscientiousness","Openness",0.155566119516063
"persona_Llama3_70b_zero_shot","FFM","Neuroticism","Openness",-0.232549378550448
"persona_Mistral_7b_zero_shot","FFM","Extraversion","Agreeableness",0.56612851712582
"persona_Mistral_7b_zero_shot","FFM","Extraversion","Conscientiousness",0.73956146335348
"persona_Mistral_7b_zero_shot","FFM","Extraversion","Neuroticism",-0.682843564778946
"persona_Mistral_7b_zero_shot","FFM","Extraversion","Openness",0.424026226502264
"persona_Mistral_7b_zero_shot","FFM","Agreeableness","Conscientiousness",0.864408003958552
"persona_Mistral_7b_zero_shot","FFM","Agreeableness","Neuroticism",-0.594243455931447
"persona_Mistral_7b_zero_shot","FFM","Agreeableness","Openness",0.486089270450981
"persona_Mistral_7b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.781260011937563
"persona_Mistral_7b_zero_shot","FFM","Conscientiousness","Openness",0.332568150640739
"persona_Mistral_7b_zero_shot","FFM","Neuroticism","Openness",-0.0683012302698619
"psi_Gemma2_9b_zero_shot","FFM","Extraversion","Agreeableness",0.479920339738814
"psi_Gemma2_9b_zero_shot","FFM","Extraversion","Conscientiousness",0.640602259890661
"psi_Gemma2_9b_zero_shot","FFM","Extraversion","Neuroticism",-0.704128728116445
"psi_Gemma2_9b_zero_shot","FFM","Extraversion","Openness",0.71156316363456
"psi_Gemma2_9b_zero_shot","FFM","Agreeableness","Conscientiousness",0.693186013342374
"psi_Gemma2_9b_zero_shot","FFM","Agreeableness","Neuroticism",-0.640631362427205
"psi_Gemma2_9b_zero_shot","FFM","Agreeableness","Openness",0.517993917087751
"psi_Gemma2_9b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.757054191322516
"psi_Gemma2_9b_zero_shot","FFM","Conscientiousness","Openness",0.452635326670023
"psi_Gemma2_9b_zero_shot","FFM","Neuroticism","Openness",-0.343150066854349
"psi_Gemma2_27b_zero_shot","FFM","Extraversion","Agreeableness",0.344880873343941
"psi_Gemma2_27b_zero_shot","FFM","Extraversion","Conscientiousness",0.408986118457575
"psi_Gemma2_27b_zero_shot","FFM","Extraversion","Neuroticism",-0.428660897664278
"psi_Gemma2_27b_zero_shot","FFM","Extraversion","Openness",0.474732466637476
"psi_Gemma2_27b_zero_shot","FFM","Agreeableness","Conscientiousness",0.671315574862102
"psi_Gemma2_27b_zero_shot","FFM","Agreeableness","Neuroticism",-0.516143458601445
"psi_Gemma2_27b_zero_shot","FFM","Agreeableness","Openness",0.132778675153038
"psi_Gemma2_27b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.760927462890268
"psi_Gemma2_27b_zero_shot","FFM","Conscientiousness","Openness",0.0827487383276647
"psi_Gemma2_27b_zero_shot","FFM","Neuroticism","Openness",0.169809275155454
"psi_GPT4o_mini_zero_shot","FFM","Extraversion","Agreeableness",0.503100248062118
"psi_GPT4o_mini_zero_shot","FFM","Extraversion","Conscientiousness",0.45182572251547
"psi_GPT4o_mini_zero_shot","FFM","Extraversion","Neuroticism",-0.618134015595621
"psi_GPT4o_mini_zero_shot","FFM","Extraversion","Openness",0.326121697429008
"psi_GPT4o_mini_zero_shot","FFM","Agreeableness","Conscientiousness",0.65423543821949
"psi_GPT4o_mini_zero_shot","FFM","Agreeableness","Neuroticism",-0.517518943237665
"psi_GPT4o_mini_zero_shot","FFM","Agreeableness","Openness",0.193024319771164
"psi_GPT4o_mini_zero_shot","FFM","Conscientiousness","Neuroticism",-0.643146245759382
"psi_GPT4o_mini_zero_shot","FFM","Conscientiousness","Openness",0.0653499033230712
"psi_GPT4o_mini_zero_shot","FFM","Neuroticism","Openness",0.100066676250113
"psi_GPT4o_zero_shot","FFM","Extraversion","Agreeableness",0.441515116960782
"psi_GPT4o_zero_shot","FFM","Extraversion","Conscientiousness",0.449587178175514
"psi_GPT4o_zero_shot","FFM","Extraversion","Neuroticism",-0.631689789731967
"psi_GPT4o_zero_shot","FFM","Extraversion","Openness",0.303485536311891
"psi_GPT4o_zero_shot","FFM","Agreeableness","Conscientiousness",0.598714593072175
"psi_GPT4o_zero_shot","FFM","Agreeableness","Neuroticism",-0.467501144076419
"psi_GPT4o_zero_shot","FFM","Agreeableness","Openness",0.146748276836449
"psi_GPT4o_zero_shot","FFM","Conscientiousness","Neuroticism",-0.58229657570743
"psi_GPT4o_zero_shot","FFM","Conscientiousness","Openness",0.0586575429164394
"psi_GPT4o_zero_shot","FFM","Neuroticism","Openness",0.0894755180211395
"psi_Llama3_8b_zero_shot","FFM","Extraversion","Agreeableness",0.527352542939886
"psi_Llama3_8b_zero_shot","FFM","Extraversion","Conscientiousness",0.557411424132304
"psi_Llama3_8b_zero_shot","FFM","Extraversion","Neuroticism",-0.462393965412726
"psi_Llama3_8b_zero_shot","FFM","Extraversion","Openness",0.36147305129953
"psi_Llama3_8b_zero_shot","FFM","Agreeableness","Conscientiousness",0.62641901731546
"psi_Llama3_8b_zero_shot","FFM","Agreeableness","Neuroticism",-0.353975803362324
"psi_Llama3_8b_zero_shot","FFM","Agreeableness","Openness",0.221996815545362
"psi_Llama3_8b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.54990115667431
"psi_Llama3_8b_zero_shot","FFM","Conscientiousness","Openness",0.160198493953219
"psi_Llama3_8b_zero_shot","FFM","Neuroticism","Openness",0.162807230394416
"psi_Llama3_70b_zero_shot","FFM","Extraversion","Agreeableness",0.275245637412583
"psi_Llama3_70b_zero_shot","FFM","Extraversion","Conscientiousness",0.358287956020991
"psi_Llama3_70b_zero_shot","FFM","Extraversion","Neuroticism",-0.333134500549111
"psi_Llama3_70b_zero_shot","FFM","Extraversion","Openness",0.511352665441789
"psi_Llama3_70b_zero_shot","FFM","Agreeableness","Conscientiousness",0.640029483463564
"psi_Llama3_70b_zero_shot","FFM","Agreeableness","Neuroticism",-0.502167018481903
"psi_Llama3_70b_zero_shot","FFM","Agreeableness","Openness",0.151053611333236
"psi_Llama3_70b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.631511831281003
"psi_Llama3_70b_zero_shot","FFM","Conscientiousness","Openness",0.202795050838021
"psi_Llama3_70b_zero_shot","FFM","Neuroticism","Openness",0.117847751878649
"psi_Mistral_7b_zero_shot","FFM","Extraversion","Agreeableness",0.57275017284024
"psi_Mistral_7b_zero_shot","FFM","Extraversion","Conscientiousness",0.599872468053442
"psi_Mistral_7b_zero_shot","FFM","Extraversion","Neuroticism",-0.63869404728678
"psi_Mistral_7b_zero_shot","FFM","Extraversion","Openness",0.644026452666796
"psi_Mistral_7b_zero_shot","FFM","Agreeableness","Conscientiousness",0.726679130351752
"psi_Mistral_7b_zero_shot","FFM","Agreeableness","Neuroticism",-0.683809970174141
"psi_Mistral_7b_zero_shot","FFM","Agreeableness","Openness",0.430362489009985
"psi_Mistral_7b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.775262458119862
"psi_Mistral_7b_zero_shot","FFM","Conscientiousness","Openness",0.193913176783983
"psi_Mistral_7b_zero_shot","FFM","Neuroticism","Openness",-0.180404212273273
"shape_Gemma2_9b_zero_shot","FFM","Extraversion","Agreeableness",0.659732411858343
"shape_Gemma2_9b_zero_shot","FFM","Extraversion","Conscientiousness",0.421259211099616
"shape_Gemma2_9b_zero_shot","FFM","Extraversion","Neuroticism",-0.773785512382575
"shape_Gemma2_9b_zero_shot","FFM","Extraversion","Openness",0.831938148461362
"shape_Gemma2_9b_zero_shot","FFM","Agreeableness","Conscientiousness",0.662165971287133
"shape_Gemma2_9b_zero_shot","FFM","Agreeableness","Neuroticism",-0.801522219670582
"shape_Gemma2_9b_zero_shot","FFM","Agreeableness","Openness",0.821727578377075
"shape_Gemma2_9b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.728483576149496
"shape_Gemma2_9b_zero_shot","FFM","Conscientiousness","Openness",0.42798461703964
"shape_Gemma2_9b_zero_shot","FFM","Neuroticism","Openness",-0.62195557197751
"shape_Gemma2_27b_zero_shot","FFM","Extraversion","Agreeableness",0.720374885259403
"shape_Gemma2_27b_zero_shot","FFM","Extraversion","Conscientiousness",0.47039725272626
"shape_Gemma2_27b_zero_shot","FFM","Extraversion","Neuroticism",-0.832579031498991
"shape_Gemma2_27b_zero_shot","FFM","Extraversion","Openness",0.821472857478197
"shape_Gemma2_27b_zero_shot","FFM","Agreeableness","Conscientiousness",0.770457601077715
"shape_Gemma2_27b_zero_shot","FFM","Agreeableness","Neuroticism",-0.821814206667411
"shape_Gemma2_27b_zero_shot","FFM","Agreeableness","Openness",0.845174211693319
"shape_Gemma2_27b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.795584170781169
"shape_Gemma2_27b_zero_shot","FFM","Conscientiousness","Openness",0.479015233009086
"shape_Gemma2_27b_zero_shot","FFM","Neuroticism","Openness",-0.712826019593088
"shape_GPT4o_mini_zero_shot","FFM","Extraversion","Agreeableness",0.805928849312887
"shape_GPT4o_mini_zero_shot","FFM","Extraversion","Conscientiousness",0.585845178795095
"shape_GPT4o_mini_zero_shot","FFM","Extraversion","Neuroticism",-0.609031078609252
"shape_GPT4o_mini_zero_shot","FFM","Extraversion","Openness",0.873273875376578
"shape_GPT4o_mini_zero_shot","FFM","Agreeableness","Conscientiousness",0.748249199574967
"shape_GPT4o_mini_zero_shot","FFM","Agreeableness","Neuroticism",-0.788083019284647
"shape_GPT4o_mini_zero_shot","FFM","Agreeableness","Openness",0.912139550400137
"shape_GPT4o_mini_zero_shot","FFM","Conscientiousness","Neuroticism",-0.752737891287139
"shape_GPT4o_mini_zero_shot","FFM","Conscientiousness","Openness",0.583463374894384
"shape_GPT4o_mini_zero_shot","FFM","Neuroticism","Openness",-0.62171617981407
"shape_GPT4o_zero_shot","FFM","Extraversion","Agreeableness",0.588490335348518
"shape_GPT4o_zero_shot","FFM","Extraversion","Conscientiousness",0.363307694578757
"shape_GPT4o_zero_shot","FFM","Extraversion","Neuroticism",-0.800438247232347
"shape_GPT4o_zero_shot","FFM","Extraversion","Openness",0.72077849447685
"shape_GPT4o_zero_shot","FFM","Agreeableness","Conscientiousness",0.653639403990844
"shape_GPT4o_zero_shot","FFM","Agreeableness","Neuroticism",-0.658793275274466
"shape_GPT4o_zero_shot","FFM","Agreeableness","Openness",0.792020325745988
"shape_GPT4o_zero_shot","FFM","Conscientiousness","Neuroticism",-0.667539243196591
"shape_GPT4o_zero_shot","FFM","Conscientiousness","Openness",0.270806793204634
"shape_GPT4o_zero_shot","FFM","Neuroticism","Openness",-0.4768107228801
"shape_Llama3_8b_zero_shot","FFM","Extraversion","Agreeableness",0.400437928893628
"shape_Llama3_8b_zero_shot","FFM","Extraversion","Conscientiousness",0.268025812568493
"shape_Llama3_8b_zero_shot","FFM","Extraversion","Neuroticism",-0.621943654621489
"shape_Llama3_8b_zero_shot","FFM","Extraversion","Openness",0.682020833668913
"shape_Llama3_8b_zero_shot","FFM","Agreeableness","Conscientiousness",0.584420590943753
"shape_Llama3_8b_zero_shot","FFM","Agreeableness","Neuroticism",-0.687705161320356
"shape_Llama3_8b_zero_shot","FFM","Agreeableness","Openness",0.764667184584269
"shape_Llama3_8b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.54943895435682
"shape_Llama3_8b_zero_shot","FFM","Conscientiousness","Openness",0.268066319758383
"shape_Llama3_8b_zero_shot","FFM","Neuroticism","Openness",-0.61727892958147
"shape_Llama3_70b_zero_shot","FFM","Extraversion","Agreeableness",0.53534998338015
"shape_Llama3_70b_zero_shot","FFM","Extraversion","Conscientiousness",0.310102066036591
"shape_Llama3_70b_zero_shot","FFM","Extraversion","Neuroticism",-0.714487973261026
"shape_Llama3_70b_zero_shot","FFM","Extraversion","Openness",0.702928813147079
"shape_Llama3_70b_zero_shot","FFM","Agreeableness","Conscientiousness",0.652915632131426
"shape_Llama3_70b_zero_shot","FFM","Agreeableness","Neuroticism",-0.736951877876428
"shape_Llama3_70b_zero_shot","FFM","Agreeableness","Openness",0.892172848843126
"shape_Llama3_70b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.824004624694621
"shape_Llama3_70b_zero_shot","FFM","Conscientiousness","Openness",0.449233425639208
"shape_Llama3_70b_zero_shot","FFM","Neuroticism","Openness",-0.65118414984488
"shape_Mistral_7b_zero_shot","FFM","Extraversion","Agreeableness",0.580765425669649
"shape_Mistral_7b_zero_shot","FFM","Extraversion","Conscientiousness",0.665345804508708
"shape_Mistral_7b_zero_shot","FFM","Extraversion","Neuroticism",-0.801577655016628
"shape_Mistral_7b_zero_shot","FFM","Extraversion","Openness",0.640090456803672
"shape_Mistral_7b_zero_shot","FFM","Agreeableness","Conscientiousness",0.792779899206936
"shape_Mistral_7b_zero_shot","FFM","Agreeableness","Neuroticism",-0.780576646472157
"shape_Mistral_7b_zero_shot","FFM","Agreeableness","Openness",0.745226171760781
"shape_Mistral_7b_zero_shot","FFM","Conscientiousness","Neuroticism",-0.823965586602688
"shape_Mistral_7b_zero_shot","FFM","Conscientiousness","Openness",0.514343390768797
"shape_Mistral_7b_zero_shot","FFM","Neuroticism","Openness",-0.609456958540431
